time,flux,flux_err,centroid_col,centroid_row,cadenceno,quality
1475.203133651732,258736.5625,18.732559204101562,231.9734245443886,131.16220967801843,66864,0
1475.2235663714018,258687.90625,18.731460571289062,231.97330357950648,131.16219738709165,66865,0
1475.243999291306,258610.875,18.730361938476562,231.97307925855318,131.16153201043824,66866,0
1475.264432011376,258657.03125,18.730846405029297,231.97343579901357,131.16152599699674,66867,0
1475.2848648316867,258635.453125,18.73063850402832,231.9734470820476,131.1611311213484,66868,0
1475.3052977522311,258613.203125,18.729846954345703,231.97343418201945,131.16105798912614,66869,0
1475.3257304729414,258589.203125,18.729951858520508,231.97337019871802,131.16139100815238,66870,8192
1475.3461633938932,258626.078125,18.730581283569336,231.9735468316909,131.16113906689935,66871,8192
1475.3665962150772,258682.921875,18.730907440185547,231.97324806133196,131.16158939676438,66872,0
1475.3870290364284,258672.828125,18.73112678527832,231.97343272605062,131.16176836119837,66873,0
1475.4074618580198,258652.203125,18.730918884277344,231.97364229361958,131.16249824185323,66874,0
1475.427894679844,258656.84375,18.731103897094727,231.9730961060197,131.16272327488463,66875,0
1475.4483275018356,258710.390625,18.731891632080078,231.97361919299402,131.163502936452,66876,0
1475.4687603240673,258737.5,18.732187271118164,231.97369953698308,131.1637578225358,66877,0
1475.4891931464736,258786.09375,18.73274803161621,231.9737895806526,131.16377292244596,66878,0
1475.5096260691062,258759.5,18.733108520507812,231.97326227019175,131.16394182629688,66879,0
1475.5300588919781,258732.78125,18.73259162902832,231.97314208990912,131.1643062091607,66880,0
1475.5504916150821,258715.5,18.73219871520996,231.97356283778444,131.16410065425842,66881,0
1475.570924538355,258750.71875,18.733251571655273,231.97326230887808,131.16391510276458,66882,0
1475.5913573618673,258761.15625,18.733386993408203,231.97375761360578,131.1641818624769,66883,0
1475.6117900855534,258782.140625,18.73392677307129,231.97345195615446,131.1639691284596,66884,128
1475.6322230094665,258741.1875,18.73351287841797,231.9738052805074,131.1643355939019,66885,0
